index,hold_years,years,adjust_currency,adjust_inflation,simulations,mean,median,std_dev,std_err,min,max
s&p-500-index,5.0,15,adjust-currency,adjust-inflation,36276,0.11379010455871622,0.1138061440786674,0.0279426759369553,0.00014670952043476085,0.002567093277433097,0.1926108614060975
s&p-500-index,10.0,15,adjust-currency,adjust-inflation,18034,0.11338454800446375,0.11156755143272679,0.017779896568376325,0.00013239854045910576,0.06281213223472837,0.16117739293178013
s&p-500-index,1.0,15,adjust-currency,adjust-inflation,50759,0.12484970818506887,0.11488218012676388,0.13064628587451646,0.0005798832162349994,-0.2521503204834583,0.6509187559826479
s&p-500-index,3.0,15,adjust-currency,adjust-inflation,43537,0.11369983281860481,0.10688434355102117,0.05008095389037608,0.00024001774012470035,-0.03270103463585938,0.25506304229413423
s&p-500-index,1.0,20,adjust-currency,adjust-inflation,68998,0.0854721524554381,0.09265382157433977,0.16860889972518506,0.00064189241410023,-0.4423191559174885,0.6509187559826479
s&p-500-index,3.0,20,adjust-currency,adjust-inflation,61771,0.07644328111344492,0.09781772346454054,0.0948736495330787,0.0003817273619432928,-0.23036085341217305,0.25506304229413423
s&p-500-index,10.0,20,adjust-currency,adjust-inflation,36279,0.09839706233644001,0.10579297395273479,0.03154866756396121,0.0001656354790259694,0.02644852712474144,0.16117739293178013
s&p-500-index,5.0,20,adjust-currency,adjust-inflation,54521,0.09094634785904024,0.10915744310221043,0.06307045180502815,0.00027011209767576985,-0.07178348766026987,0.1926108614060975
s&p-500-index,5.0,25,adjust-currency,adjust-inflation,72705,0.05539006232406175,0.08860120106801173,0.0841574273277678,0.00031211188840558505,-0.12752669118923265,0.1926108614060975
s&p-500-index,1.0,25,adjust-currency,adjust-inflation,87154,0.05296285494153884,0.06957883884307636,0.18096384607192006,0.0006129826125107375,-0.4746572664690909,0.6509187559826479
s&p-500-index,10.0,25,adjust-currency,adjust-inflation,54457,0.06391482576347823,0.07697702164067688,0.060386352021628335,0.0002587688156125576,-0.09087941061939109,0.16117739293178013
